rank,title,genre,platforms,release_date,developer,publisher,description
149,Devil May Cry 3: Dante's Awakening,Action,"['PlayStation 2', 'PC', 'Nintendo Switch', 'PlayStation 3', 'PlayStation 4', 'Xbox 360', 'Xbox One']",2005-02-17,Capcom,Capcom,"Devil May Cry 3: Dante's Awakening is a hack-and-slash action game and the prequel to the original Devil May Cry. It follows a younger Dante as he opens a mysterious demonic tower, Temen-ni-gru, and battles his twin brother Vergil in a story centered on family conflict, demonic power, and Dante's rise as a demon hunter. The game is known for its fast-paced combat, style-based ranking system, challenging difficulty, and the introduction of selectable combat styles that dramatically change how Dante fights. Its intense boss encounters, deep combo system, and strong presentation made it one of the most acclaimed entries in the series."
150,Astro Bot Rescue Mission,Action,"['PlayStation 4', 'PlayStation VR']",2018-10-02,Japan Studio,Sony Interactive Entertainment,"Astro Bot Rescue Mission is a 3D platformer built specifically for PlayStation VR. Players control Astro, a small robot captain, as he travels through colorful worlds to rescue his lost crew after their spaceship is attacked. The game uses VR in creative ways, requiring players to look around environments, lean in, and interact with the world to find hidden bots, solve environmental puzzles, and defeat bosses. Its levels feature imaginative set pieces, tight platforming, and a strong sense of depth and scale, making it one of the standout games for the platform. The game was widely praised for its inventive use of virtual reality, charming presentation, and polished gameplay."
151,Hollow Knight: Silksong,Adventure,"['PC', 'Nintendo Switch', 'PlayStation 4', 'PlayStation 5', 'Xbox One', 'Xbox Series X/S']",2025-09-04,Team Cherry,Team Cherry,"Hollow Knight: Silksong is the long-awaited sequel to Hollow Knight, developed by Team Cherry. Players control Hornet, a swift and agile princess-protector, as she is captured and brought to the mysterious kingdom of Pharloom. The game features fast-paced 2D action, acrobatic movement, challenging combat, and extensive exploration through interconnected hand-drawn environments filled with enemies, secrets, quests, and bosses. It builds on the original’s Metroidvania-style design with new tools, crafting systems, and traversal abilities."
152,Jak and Daxter Collection,Adventure,"['PlayStation 3', 'PlayStation Vita']",2012-02-07,"Mass Media, Inc.",Sony Computer Entertainment,"Jak and Daxter Collection is a high-definition remaster of the original Jak and Daxter trilogy developed by Mass Media, Inc. and published by Sony Computer Entertainment. The collection includes Jak and Daxter: The Precursor Legacy, Jak II, and Jak 3, featuring updated visuals, trophy support, and stereoscopic 3D on supported platforms. Players follow Jak and his loyal sidekick Daxter through a series of action-adventure worlds that blend platforming, combat, exploration, vehicle sections, and light puzzle solving. The first game emphasizes open-area platforming and collecting Precursor Orbs, while the sequels expand the formula with darker storytelling, guns, vehicles, and more varied missions. The collection preserves the core gameplay and humor of the original Naughty Dog classics while making them accessible on modern PlayStation hardware."
153,Pokemon Platinum Version,RPG,['Nintendo DS'],2008-09-13,Game Freak,Nintendo,"Pokémon Platinum Version is an enhanced version of Pokémon Diamond and Pearl, set in the Sinnoh region. Players begin as a new Pokémon Trainer and journey across the region to collect Gym badges, challenge the Pokémon League, and stop Team Galactic’s plans involving the legendary Pokémon Giratina. Platinum introduces the Distortion World, expanded story content, improved gameplay balance, a larger selection of Pokémon, and the Battle Frontier for post-game challenges. It is widely regarded as one of the most polished and content-rich entries in the Pokémon series."
154,Uncharted 2: Among Thieves,Adventure,"['PlayStation 3', 'PlayStation 4']",2009-10-13,Naughty Dog,Sony Computer Entertainment,"Uncharted 2: Among Thieves is an action-adventure game following treasure hunter Nathan Drake as he is drawn into a globe-spanning search for the Cintamani Stone and the lost city of Shambhala. Pursued by rival treasure hunters and a ruthless war criminal, Drake teams up with allies Chloe Frazer and Victor Sullivan while navigating dangerous ruins, urban environments, and high-stakes combat. The game is known for its cinematic presentation, third-person shooting, platforming, puzzle-solving, and set-piece sequences, and is widely regarded as one of the defining titles of the PlayStation 3 era."
155,Mass Effect 2,RPG,"['PC', 'PlayStation 3', 'Xbox 360', 'PlayStation 4', 'Xbox One']",2010-01-26,BioWare,Electronic Arts,"Mass Effect 2 is a science fiction action role-playing game set in the 22nd century, where players take on the role of Commander Shepard, humanity’s elite soldier and N7 operative. After the events of the original Mass Effect, Shepard is recruited by the mysterious organization Cerberus to investigate a devastating threat known as the Collectors, who are abducting entire human colonies. The game focuses on assembling and leading a diverse squad of specialists for a dangerous suicide mission across the galaxy.

Gameplay combines third-person shooting, squad-based tactics, and dialogue-driven choices that shape character relationships and the story’s outcome. Decisions carry over from Mass Effect, and player choices can significantly affect the fate of squadmates and the broader trilogy. Mass Effect 2 is widely praised for its strong character development, cinematic presentation, and streamlined combat, and is considered one of the most acclaimed role-playing games of its generation."
156,Final Fantasy XIV: Endwalker,RPG,"['PC', 'PlayStation 4', 'PlayStation 5']",2021-12-07,Square Enix Creative Business Unit III,Square Enix,"Final Fantasy XIV: Endwalker is the fourth expansion for the MMORPG Final Fantasy XIV. It concludes the game’s long-running Hydaelyn and Zodiark storyline while expanding the world with new areas, jobs, dungeons, raids, and an increased level cap. Players travel across Eorzea and beyond, facing the end of days and uncovering the final chapters of the saga through a mix of solo story content and cooperative multiplayer challenges. The expansion introduced the Sage and Reaper jobs, the male Viera playable race, and a broad range of quality-of-life improvements and combat adjustments."
157,Ghost of Tsushima: Legends,Action,"['PlayStation 4', 'PlayStation 5', 'PC']",2020-10-16,Sucker Punch Productions,Sony Interactive Entertainment,"Ghost of Tsushima: Legends is a cooperative multiplayer expansion to Ghost of Tsushima that reimagines the game’s feudal Japan setting through myth-inspired missions and supernatural combat. Players choose from distinct classes and team up in 2-player story missions, 3-player survival mode, and later raid content, battling waves of oni, ghosts, and other enemies drawn from Japanese folklore. The mode emphasizes coordination, class synergy, and gear progression, with each class offering unique abilities and playstyles. Originally released as a free update for Ghost of Tsushima, Legends later received standalone availability and support through Ghost of Tsushima Director’s Cut and Ghost of Tsushima: Legends standalone."
158,Xenoblade Chronicles: Definitive Edition,RPG,['Nintendo Switch'],2020-05-29,Monolith Soft,Nintendo,"Xenoblade Chronicles: Definitive Edition is a remastered version of the acclaimed action RPG Xenoblade Chronicles. It follows Shulk, a young warrior who wields the legendary Monado sword, as he sets out on a journey across the bodies of two colossal titans, Bionis and Mechonis. Featuring a vast open-world structure, real-time combat with party-based abilities, and an expanded soundtrack and visual overhaul, this edition also includes new story content called Future Connected."
159,Calculator,Sports,"['Windows', 'macOS', 'Linux', 'Mobile']",1972-01-01,Texas Instruments,Texas Instruments,"Calculator is a general-purpose computing utility rather than a traditional video game. It has appeared in many forms across computers, mobile devices, and dedicated electronic hardware, allowing users to perform arithmetic, scientific, and sometimes programming calculations. While it is not a game in the usual entertainment sense, the title is sometimes included in game lists due to cataloging quirks or placeholder entries. Calculator applications are known for their simplicity, speed, and usefulness in everyday tasks such as budgeting, engineering, and education. Different versions have been shipped by operating system vendors and hardware manufacturers over the decades."
160,Outer Wilds: Echoes of the Eye,Adventure,"['PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Xbox Series X/S']",2021-09-28,Mobius Digital,Annapurna Interactive,"Outer Wilds: Echoes of the Eye is the expansion to Outer Wilds, a first-person exploration and mystery adventure set in the same handcrafted solar system. The DLC introduces a new, hidden location and a separate narrative thread centered on a mysterious signal that leads the player to uncover the secrets of an ancient civilization. Like the base game, it emphasizes exploration, environmental storytelling, puzzle-solving, and discovery with no combat-focused progression. Echoes of the Eye expands the universe of Outer Wilds while preserving its time-loop-driven sense of curiosity and discovery."
161,Super Mario Bros. Wonder,Adventure,['Nintendo Switch'],2023-10-20,Nintendo EPD,Nintendo,"Super Mario Bros. Wonder is a 2D side-scrolling platformer for Nintendo Switch that reimagines the classic Mario formula with colorful visuals, inventive level design, and unpredictable ""Wonder"" effects that radically change gameplay. Players can choose from Mario, Luigi, Peach, Daisy, Toad, Toadette, Yoshi, and Nabbit as they travel through the Flower Kingdom to stop Bowser, who has fused with the powerful Wonder Flower and turned himself into a monstrous castle. The game introduces new power-ups such as the Elephant Fruit, bubble-blowing, and drill abilities, along with online features that let players see other players' avatars and helpful ghost-style stand-ins during stages."
162,Resident Evil 4: Separate Ways,Action,"['GameCube', 'PlayStation 2', 'PC', 'Wii', 'iOS', 'PlayStation 3', 'Xbox 360', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'PC (2023 remake)', 'PlayStation 5', 'Xbox Series X/S']",2005-09-19,Capcom,Capcom,"Resident Evil 4: Separate Ways is an action-adventure survival horror expansion centered on Ada Wong, running alongside the events of Resident Evil 4. Players experience a parallel story that reveals Ada’s covert mission, her interactions with key characters, and how her actions influence Leon S. Kennedy’s journey. The mode features combat, exploration, puzzle-solving, and item management, with a heavier emphasis on Ada’s agility, gadget use, and stealthier approach compared with Leon’s campaign.

Originally included as an unlockable bonus mode in the PlayStation 2 version of Resident Evil 4, Separate Ways later appeared in other editions and remakes, including as a standalone-style story expansion in Resident Evil 4 (2023). It expands the lore of the main game and adds new areas, enemy encounters, and story scenes that reframe events from Ada’s perspective. The campaign is known for its tighter pacing, additional backstory, and significant role in connecting plot threads involving Ada, Leon, Luis, Krauser, and Albert Wesker."
163,DELTARUNE,RPG,"['PC', 'Nintendo Switch', 'PlayStation 4', 'macOS', 'Nintendo Switch 2', 'PlayStation 5']",2018-10-31,Toby Fox,Toby Fox,"DELTARUNE is a chapter-based role-playing game created by Toby Fox, best known for UNDERTALE. Players control Kris and a party of classmates and allies as they journey through mysterious Dark Worlds that connect to their everyday life in the town of Hometown. The game blends turn-based combat with bullet-hell dodging, party management, and choices that can change encounters, while emphasizing humor, character-driven storytelling, and emotional themes. Unlike UNDERTALE, DELTARUNE is designed as a separate experience with its own story and cast, though it shares some familiar faces and motifs. Chapters 1 and 2 have been released for free, with later chapters planned as paid content. The game has been praised for its music, writing, worldbuilding, and distinctive battle system."
164,Donkey Kong Bananza,Action,['Nintendo Switch 2'],2025-07-17,Nintendo,Nintendo,"Donkey Kong Bananza is a 3D action-platformer starring Donkey Kong, built around fast-paced traversal and large-scale environmental destruction. Players smash through terrain, uncover hidden routes and collectibles, and use DK’s raw strength to battle enemies and overcome obstacles across colorful, expansive stages. The game emphasizes freedom of movement, creative problem-solving, and spectacle, with a focus on banana-themed adventures and cooperative-style momentum through layered environments. It was developed and published by Nintendo for Nintendo Switch 2."
165,Outer Wilds,Adventure,"['PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",2019-05-28,Mobius Digital,Annapurna Interactive,"Outer Wilds is an open-world mystery adventure about a solar system trapped in a time loop. As an explorer for the Hearthian space program, the player travels between hand-crafted planets to uncover the fate of an ancient alien civilization known as the Nomai and investigate the cause of the loop that resets every 22 minutes. Progress is driven entirely by knowledge and observation rather than character upgrades or combat. The game emphasizes curiosity, non-linear exploration, environmental storytelling, and puzzle-solving as players piece together clues scattered across planets with unique physics and hazards. Its structure rewards careful observation and experimentation, making each discovery unlock new areas, secrets, and connections in the larger mystery."
166,Cyberpunk 2077: Phantom Liberty,RPG,"['PC', 'PlayStation 5', 'Xbox Series X/S']",2023-09-26,CD Projekt Red,CD Projekt,"Cyberpunk 2077: Phantom Liberty is a spy-thriller expansion for Cyberpunk 2077 set in Dogtown, a dangerous district of Night City. Players return as V, recruited into a high-stakes mission to save the President of the New United States after her shuttle is shot down. The expansion adds a new story arc, characters, missions, weapons, cyberware, a new Relic skill tree, and vehicle combat elements. It also introduces a redesigned progression system and endgame content alongside the base game update. Phantom Liberty is known for its branching narrative, tense espionage atmosphere, and major choices that can significantly affect the outcome of the story."
167,The Witcher 3: Wild Hunt - Complete Edition,RPG,"['PC', 'PlayStation 4', 'PlayStation 5', 'Xbox One', 'Xbox Series X|S', 'Nintendo Switch']",2016-08-30,CD Projekt Red,CD Projekt,"The Witcher 3: Wild Hunt - Complete Edition is the definitive version of CD Projekt Red’s award-winning open-world action RPG. Players take on the role of Geralt of Rivia, a monster hunter searching for his adopted daughter, Ciri, while navigating a war-torn fantasy world filled with political intrigue, dangerous creatures, and moral choices. The Complete Edition bundles the base game with both major expansions, Hearts of Stone and Blood and Wine, along with all previously released DLC. It features a vast seamless world, branching quests, skill-based combat, alchemy, and deep character progression. This edition also includes gameplay and visual enhancements from the next-gen update, depending on platform."
168,Pikmin 4,Adventure,['Nintendo Switch'],2023-07-21,Nintendo EPD,Nintendo,"Pikmin 4 is a real-time strategy adventure game developed and published by Nintendo for the Nintendo Switch. Players lead a rescue team and a squad of plant-like Pikmin while exploring a mysterious planet, solving environmental puzzles, gathering resources, and battling creatures. The game introduces a customizable Rescue Pup companion named Oatchi, who can help carry items, overcome obstacles, and assist in combat. It also adds a nighttime mode, new Pikmin types, and a more accessible structure than previous entries in the series."
169,Jak and Daxter Collection,Adventure,"['PlayStation 3', 'PlayStation Vita']",2012-02-07,"Mass Media, Inc.",Sony Computer Entertainment,"Jak and Daxter Collection is a high-definition remastered compilation of three classic action-adventure platformers: Jak and Daxter: The Precursor Legacy, Jak II, and Jak 3. The collection modernizes the original PlayStation 2 games with upgraded visuals and trophy support while preserving their signature blend of platforming, exploration, combat, vehicle sections, and quirky humor. Players follow Jak and his companion Daxter across a series of interconnected worlds, uncovering ancient secrets, battling enemies, and using an expanding set of abilities and weapons. The collection is known for bringing the full PS2 trilogy to PlayStation 3 and PS Vita in one package for both longtime fans and new players."
170,Resident Evil 4: Separate Ways,Action,"['GameCube', 'PlayStation 2', 'PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'PlayStation 5', 'Xbox Series X/S']",2005-10-25,Capcom Production Studio 4,Capcom,"Resident Evil 4: Separate Ways is a bonus campaign centered on Ada Wong, expanding the story of Resident Evil 4 from her perspective. Originally included in the PlayStation 2 version as an unlockable mode and later featured in various releases, it follows Ada’s covert mission to retrieve the sample of the Las Plagas parasite while intersecting with Leon S. Kennedy’s journey in rural Spain. The campaign adds new areas, unique scenarios, and exclusive gameplay sequences that deepen the main game’s plot and Ada’s role in the events surrounding the Ganado outbreak. It blends third-person action, survival horror, and puzzle-solving, with Ada’s distinct weapons and grappling-hook movement giving it a more agile style than Leon’s campaign."
171,Outer Wilds: Archaeologist Edition,Adventure,"['PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",2023-09-15,Mobius Digital,Annapurna Interactive,"Outer Wilds: Archaeologist Edition is the complete edition of the critically acclaimed space exploration mystery game Outer Wilds. It includes the base game and the Echoes of the Eye expansion. Players explore a handcrafted solar system trapped in a time loop, uncovering the secrets of an ancient alien civilization known as the Nomai. The game emphasizes curiosity, observation, and non-linear discovery rather than combat or traditional progression. The Archaeologist Edition bundles the full experience for players who want the complete story and all major content in one package."
172,Final Fantasy VII Remake Intergrade,RPG,"['PlayStation 5', 'PC']",2021-06-10,Square Enix Business Division 1,Square Enix,"Final Fantasy VII Remake Intergrade is an enhanced PlayStation 5 and PC edition of Final Fantasy VII Remake. It retells the opening section of the 1997 classic in the dystopian city of Midgar, following former SOLDIER operative Cloud Strife as he joins the eco-terrorist group AVALANCHE to fight the megacorporation Shinra. Intergrade features improved graphics, faster loading times, a photo mode, and a new performance mode, along with Yuffie Kisaragi’s bonus episode, INTERmission, which adds a separate story campaign set during the events of the main game. The game blends real-time action with strategic command-based elements and expands the original story with new characterization, combat systems, and narrative details."
173,DELTARUNE,RPG,"['PC', 'Nintendo Switch', 'PlayStation 4']",2018-10-31,Toby Fox,Toby Fox,"DELTARUNE is a chapter-based role-playing game created by Toby Fox, best known for UNDERTALE. Players control Kris and team up with Susie and Ralsei as they travel between the Light World and mysterious Dark Worlds. The game blends turn-based battles, bullet-hell dodging, humor, and story-driven exploration, with a strong emphasis on character interactions and player choice. Unlike UNDERTALE, DELTARUNE uses a party-based combat system and is being released in chapters rather than as a single complete game. The first chapters launched in 2018 and 2021, with additional chapters planned for future release."
174,Donkey Kong Bananza,Adventure,['Nintendo Switch 2'],2025-07-17,Nintendo EPD,Nintendo,"Donkey Kong Bananza is a 3D action-adventure platformer for Nintendo Switch 2 starring Donkey Kong. Players explore a large underground world filled with destructible terrain, hidden routes, collectibles, enemies, and environmental puzzles. The game emphasizes powerful movement, exploration, and smashing through obstacles to uncover new areas and secrets. It was announced as part of Nintendo’s Switch 2 lineup and is one of the system’s major first-party releases. The title features single-player gameplay and showcases the hardware with detailed visuals, expansive levels, and physics-driven interactions centered on Donkey Kong’s strength and agility."
175,Metroid Prime 2: Echoes,Adventure,['Nintendo GameCube'],2004-11-15,Retro Studios,Nintendo,"Metroid Prime 2: Echoes is a first-person action-adventure game in the Metroid series, following Samus Aran as she investigates the doomed planet Aether. After a space pirate conflict and a collision with a dimensional anomaly, Aether is split into a bright Light World and a hostile Dark World, forcing Samus to travel between both realities to survive and solve environmental puzzles. The game expands on the original Metroid Prime with a more combat-focused design, new beam weapons, the Dark Beam and Light Beam, and the unique ammo system tied to them. It is known for its challenging enemies, atmospheric world design, and tense exploration across interconnected regions. Released for the Nintendo GameCube, Echoes was developed by Retro Studios and published by Nintendo. It remains one of the most ambitious and demanding entries in the Metroid franchise."
176,Space Rangers 2: Reboot,RPG,['PC'],2004-10-30,Elemental Games,1C Company,"Space Rangers 2: Reboot is a hybrid sci-fi role-playing game that blends open-world exploration, turn-based combat, trading, text adventures, and real-time strategy elements. Set in a dynamic galaxy threatened by the expansion of hostile robotic Dominators, players can choose different careers such as trader, pirate, bounty hunter, or space ranger while freely exploring star systems, taking missions, upgrading ships, and interacting with factions. The game is known for its huge sandbox structure, emergent events, and unusual mix of gameplay styles, including planetary landings, arcade-style action sequences, and strategy-based battles. Reboot is the international release name of Space Rangers 2 and includes the original game along with the Reboot expansion content."
177,The Legend of Zelda: The Minish Cap,Adventure,"['Game Boy Advance', 'Nintendo 3DS (via Nintendo 3DS Ambassador Program / Virtual Console availability in some regions)']",2004-11-04,Capcom,Nintendo,"The Legend of Zelda: The Minish Cap is an action-adventure game in the Legend of Zelda series. Developed by Capcom with supervision from Nintendo, it follows Link as he teams up with the mysterious Minish Ezlo to stop the sorcerer Vaati and restore the Picori Blade. A key mechanic lets Link shrink to the size of the tiny Minish race, revealing new paths, puzzles, and hidden secrets in familiar environments. The game features colorful GBA-era visuals, classic dungeon exploration, sword and item upgrades, and a story set in the kingdom of Hyrule."
178,Knights of Honor,RTS,['PC'],2004-09-06,Black Sea Studios,Sunflowers Interactive Entertainment Software,"Knights of Honor is a medieval real-time strategy game with strong grand-strategy elements, set across Europe, North Africa, and the Middle East. Players take control of a royal family and manage a kingdom through diplomacy, warfare, economy, and dynastic politics. Unlike many RTS games, it emphasizes high-level decision-making, province control, and recruiting noble knights as leaders for armies, spies, merchants, and clergy. The game features a large strategic map, real-time battles, and a flexible system for alliances, crusades, espionage, and trade. Its blend of accessible kingdom management and large-scale medieval conflict made it stand out among early 2000s strategy games."
179,Burnout Revenge,RPG,"['PlayStation 2', 'Xbox', 'Xbox 360', 'PlayStation 3', 'Mobile', 'PC']",2005-09-13,Criterion Games,Electronic Arts,"Burnout Revenge is an arcade racing game focused on high-speed driving, aggressive takedowns, and causing spectacular crashes. Players compete in intense street races and traffic-heavy events where revenge is a core mechanic: you can target rival cars, slam opponents into obstacles, and build boost by driving dangerously. The game expands on Burnout 3’s signature crash-heavy gameplay with new modes, traffic checking, and enhanced online competition. Known for its fast pace, explosive visuals, and adrenaline-fueled presentation, Burnout Revenge rewards risk-taking and aggressive driving over realistic simulation."
180,The Orange Box,Shooter,"['PC', 'Xbox 360', 'PlayStation 3', 'Mac OS X', 'Linux']",2007-10-10,Valve,Valve,"The Orange Box is a compilation release by Valve that bundles five games and episodes: Half-Life 2, Half-Life 2: Episode One, Half-Life 2: Episode Two, Portal, and Team Fortress 2. It is best known for delivering a mix of single-player first-person shooting, puzzle-solving, and multiplayer team-based action in one package. Half-Life 2 and its episodes continue Gordon Freeman’s sci-fi story, Portal introduces a unique physics-based puzzle mechanic centered on creating linked portals, and Team Fortress 2 offers stylized class-based multiplayer combat. Widely praised for its value and innovation, The Orange Box became one of the most acclaimed game bundles ever released."
181,The Lord of the Rings: The Battle for Middle-Earth,RTS,['PC'],2004-12-06,EA Los Angeles,Electronic Arts,"The Lord of the Rings: The Battle for Middle-earth is a real-time strategy game set in J.R.R. Tolkien's Middle-earth and based on the film trilogy directed by Peter Jackson. Players command the forces of good or evil across large-scale battles drawn from The Fellowship of the Ring, The Two Towers, and The Return of the King, building bases, recruiting units, and using heroes such as Aragorn, Gandalf, Saruman, and Sauron. The game features two full single-player campaigns that let you experience the War of the Ring from both sides, along with skirmish and multiplayer modes. It is known for its cinematic presentation, hero-focused gameplay, and large battles that bring the film adaptation to life."
182,Pokemon Emerald Version,RPG,['Game Boy Advance'],2005-05-01,Game Freak,Nintendo,"Pokémon Emerald Version is a third-generation role-playing game set in the Hoenn region. Players begin as a young Pokémon Trainer, choosing a starter Pokémon and traveling across the region to battle Gym Leaders, collect badges, and challenge the Elite Four. Emerald expands on Pokémon Ruby and Sapphire with an updated storyline that features both Team Magma and Team Aqua, while also introducing the Battle Frontier, a post-game facility with multiple challenging battle formats. It includes the ability to catch many Pokémon from earlier games, additional animations and visual refinements, and improved link features for trading and battling. The game is known for its blend of exploration, turn-based battles, and creature collection, and it remains one of the most celebrated entries in the Pokémon series."
183,WWE SmackDown! Here Comes the Pain,Sports,['PlayStation 2'],2003-10-27,Yuke's,THQ,"WWE SmackDown! Here Comes the Pain is a professional wrestling video game featuring the WWE roster from the early 2000s. Players can compete in singles matches, tag team bouts, and several specialty match types, including Hell in a Cell, Elimination Chamber, and backstage brawls. The game is known for its fast-paced arcade-style gameplay, large roster, and deep season mode, where players can guide a wrestler through storylines, rivalries, and championship pursuits. It is widely regarded as one of the most popular and critically acclaimed WWE games on the PlayStation 2."
184,Portal,Adventure,"['PC', 'PlayStation 3', 'Xbox 360', 'Linux', 'macOS', 'Nintendo Switch']",2007-10-10,Valve,Valve,"Portal is a first-person puzzle-adventure game set in the mysterious Aperture Science Enrichment Center. Players control Chell, a test subject who must navigate a series of increasingly complex chambers using the Aperture Science Handheld Portal Device, which creates linked portals on flat surfaces. The game emphasizes physics-based problem solving, spatial reasoning, and creative use of momentum to bypass obstacles, traps, and environmental hazards. Guided by the unsettling AI GLaDOS, Portal is known for its dark humor, minimalist storytelling, and iconic companion cube. Originally released as part of The Orange Box, it became widely praised for its innovative mechanics, clever level design, and memorable writing, and is regarded as one of the most influential puzzle games of all time."
185,God of War,Action,['PlayStation 2'],2005-03-22,SCE Santa Monica Studio,Sony Computer Entertainment,"God of War is an action-adventure game set in Greek mythology that follows Kratos, a Spartan warrior serving the gods of Olympus. Driven by vengeance against Ares, the God of War, Kratos embarks on a brutal quest through ancient lands and mythological horrors. The game combines fast-paced combat, platforming, puzzle-solving, and cinematic set pieces, with a strong focus on visceral melee action using the Blades of Chaos. Praised for its presentation, combat system, and epic scale, God of War became one of the defining PlayStation 2 titles and launched a long-running franchise."
186,RollerCoaster Tycoon 2: Triple Thrill Pack,RTS,['PC'],2003-10-08,Chris Sawyer Productions,Infogrames,"RollerCoaster Tycoon 2: Triple Thrill Pack is a compilation release that bundles RollerCoaster Tycoon 2 with the Wacky Worlds and Time Twister expansion packs. In the game, players design, build, and manage theme parks, constructing roller coasters, flat rides, shops, and scenery while balancing guest happiness, park finances, and park objectives. It expands the classic isometric park-management gameplay of RollerCoaster Tycoon 2 with a large set of new rides, scenarios, scenery pieces, and themed content from the two expansions. The game is known for its deep coaster-building tools, detailed park simulation, and highly customizable sandbox-style gameplay."
187,Ape Escape 3,Adventure,['PlayStation 2'],2005-07-14,SCE Japan Studio,Sony Computer Entertainment,"Ape Escape 3 is a colorful action-adventure game in the Ape Escape series for PlayStation 2. Players control a pair of heroes, Kei and Yumi, as they use a variety of gadgets to capture mischievous escaped monkeys across themed stages. The game features a playful story, fast-paced platforming, and gadget-based gameplay that builds on the series' signature dual-analog control style. Ape Escape 3 also includes a party-game feature called the Specter TV system, where players can watch in-game programs and unlock content, adding humor and replay value."
188,Kirby's Return to Dream Land,Adventure,['Wii'],2011-10-24,HAL Laboratory,Nintendo,"Kirby's Return to Dream Land is a side-scrolling action-platformer for the Wii in which Kirby and his friends help a crash-landed alien named Magolor recover the scattered pieces of his ship. Players can inhale enemies, copy their abilities, and use them in cooperative multiplayer for up to four players. The game features colorful 2D stages, boss battles, challenge rooms, and special Super Abilities that temporarily grant Kirby powerful moves to clear obstacles and enemies. It was praised for its classic Kirby gameplay, polished presentation, and accessible co-op play."
189,Batman: Arkham City,Action,"['PlayStation 3', 'Xbox 360', 'Windows', 'Wii U', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'macOS']",2011-10-18,Rocksteady Studios,Warner Bros. Interactive Entertainment,"Batman: Arkham City is an action-adventure game set in an open-world section of Gotham City turned into a massive prison for the city’s most dangerous criminals. Playing as Batman, players use stealth, detective skills, gadgets, and fluid melee combat to stop a sinister plot involving Hugo Strange, the Joker, and other classic DC villains. The game expands on the acclaimed formula of Arkham Asylum with a larger world, more side missions, and a deeper combat and predator system. It is widely praised for its atmosphere, storytelling, voice acting, and faithful portrayal of Batman lore."
190,Mount & Blade: Warband,RPG,"['PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']",2010-03-30,TaleWorlds Entertainment,Paradox Interactive,"Mount & Blade: Warband is an open-world action RPG set in the medieval-inspired land of Calradia. Players create a custom character and build a faction from the ground up through combat, trading, diplomacy, mercenary work, and conquest. The game combines real-time, third-person mounted and foot combat with strategic army management, allowing players to recruit troops, siege castles, serve lords, or claim territory for themselves. Warband expands on the original Mount & Blade with improved graphics, multiplayer battles, political systems, and the ability to establish and rule a kingdom. Its sandbox structure and large-scale battles made it a highly influential cult classic in the RPG genre."
191,"Nine Hours, Nine Persons, Nine Doors",Adventure,"['Nintendo DS', 'iOS', 'Android', 'Nintendo 3DS', 'PC']",2009-12-10,Chunsoft,Spike Chunsoft,"Nine Hours, Nine Persons, Nine Doors (often abbreviated 999) is a visual novel adventure game that blends escape-room puzzles with a suspenseful branching narrative. Players control Junpei, who awakens trapped aboard a sinking ship-like facility with eight other strangers, each forced to participate in the deadly Nonary Game. To survive, they must solve escape-room challenges, form alliances, and make difficult choices that affect the story’s flow. The game is known for its intricate plot, multiple endings, psychological horror elements, and clever use of the Nintendo DS’s dual screens and touch controls. It is the first entry in the Zero Escape series and helped establish the franchise’s reputation for elaborate time-loop mysteries and philosophical themes."
192,Portal: Still Alive,Action,['Xbox 360'],2008-10-22,Valve,Microsoft Game Studios,"Portal: Still Alive is an expanded version of Valve’s award-winning first-person puzzle game Portal, released exclusively for Xbox Live Arcade. It includes the original Portal campaign plus 14 additional bonus challenge levels based on content cut from the original game. Players use the Aperture Science Handheld Portal Device to create linked portals, solving physics-based puzzles, navigating environmental hazards, and escaping the mysterious Aperture Science Enrichment Center. The game is known for its dark humor, atmospheric storytelling, and the iconic antagonistic AI GLaDOS."
193,Dragon Ball Z: Budokai Tenkaichi 3,Action,"['PlayStation 2', 'Wii']",2007-10-04,Spike,Bandai Namco Games,"Dragon Ball Z: Budokai Tenkaichi 3 is a 3D arena fighting game based on the Dragon Ball Z anime and manga series. It features a large roster of characters from Dragon Ball, Dragon Ball Z, Dragon Ball GT, and movie-original content, with fast-paced aerial combat, signature special moves, and destructible battle environments. The game includes multiple modes such as Story, World Tournament, and Dragon History, and is known for refining the gameplay of its predecessor with improved controls, added stages, and expanded character transformations. It became one of the most acclaimed Dragon Ball fighting games for its extensive content and faithful presentation of the series."
194,Mario & Luigi: Bowser's Inside Story,RPG,['Nintendo DS'],2009-02-11,AlphaDream,Nintendo,"Mario & Luigi: Bowser's Inside Story is a comedic action RPG in which Mario and Luigi are accidentally inhaled into Bowser's body and must work from the inside to help stop a crisis threatening the Mushroom Kingdom. Players switch between controlling the brothers’ inside-the-body exploration and Bowser’s adventures across the overworld, using timed turn-based battles, puzzles, and character-specific abilities. The game is known for its humor, inventive dual-scenario structure, and boss fights that make use of the Nintendo DS touchscreen and microphone."
